sequence, time, avgAX, minAX, maxAX, avgAY, minAY, maxAY, avgAZ, minAZ, maxAZ, avgGX, minGX, maxGX, avgGY, minGY, maxGY, avgGZ, minGZ, maxGZ, avgCX, minCX, maxCX, avgCY, minCY, maxCY, avgCZ , minCZ, maxCZ
1, 2017-11-9 14:12:34, -0.46, -0.75, -0.21, -0.08, -0.25, 0.09, -0.46, -0.11, 0.19, -0.51, -2.21, 2.52, -0.46, -3.72, 4.37, 0.03, -4.33, 5.48, 269.09, 231.68, 285.96, -204.25, -288.48, -109.08, 193.80, 149.16, 234.72
2, 2017-11-9 14:12:41, -0.48, -0.66, -0.32, -0.01, -0.13, 0.10, -0.48, -0.09, 0.26, 0.40, -1.75, 2.98, 0.15, -3.66, 2.34, -0.07, -1.94, 1.91, 238.71, 218.80, 258.36, -241.80, -274.68, -217.64, 119.45, 44.28, 197.92
3, 2017-11-9 14:12:48, -0.48, -0.63, -0.30, -0.05, -0.14, 0.05, -0.48, -0.06, 0.19, -0.25, -1.71, 1.50, 0.48, -1.94, 3.56, -0.05, -1.85, 1.58, 210.95, 202.24, 221.56, 45.92, 24.32, 69.40, 101.63, 82.00, 125.24
4, 2017-11-9 14:12:55, -0.46, -0.68, -0.30, -0.11, -0.22, 0.01, -0.46, -0.13, 0.20, -0.20, -2.18, 4.89, 0.97, -2.33, 3.58, -0.20, -2.92, 1.92, 164.74, 123.12, 218.80, 142.31, 82.28, 181.64, 98.05, 45.20, 143.64
5, 2017-11-9 14:13:2, -0.48, -0.66, -0.29, -0.09, -0.18, 0.01, -0.48, -0.02, 0.21, -0.18, -1.92, 2.71, 0.77, -2.57, 3.24, 0.24, -2.01, 2.10, 157.85, 136.00, 185.68, 130.71, 92.40, 152.20, 79.28, 32.32, 109.60
6, 2017-11-9 14:13:9, -0.46, -0.69, -0.26, -0.09, -0.23, 0.02, -0.46, -0.02, 0.26, -0.28, -2.10, 2.60, 0.55, -2.18, 4.27, 0.03, -1.76, 2.05, 202.72, 78.68, 215.12, 119.35, 91.48, 152.20, 74.36, 54.40, 96.72
7, 2017-11-9 14:13:16, -0.46, -0.76, -0.26, -0.10, -0.28, 0.00, -0.46, -0.14, 0.23, -0.17, -2.39, 2.81, 0.60, -2.89, 5.24, 0.07, -2.89, 3.66, 232.55, 184.76, 283.20, 29.84, -53.88, 113.56, 146.24, 96.72, 186.88
8, 2017-11-9 14:13:23, -0.47, -0.69, -0.26, -0.10, -0.24, 0.01, -0.47, -0.04, 0.19, 0.09, -1.23, 2.57, 0.48, -1.55, 4.03, -0.10, -2.18, 2.36, 235.21, 209.60, 252.84, 11.13, -27.20, 47.32, 157.99, 114.20, 195.16
9, 2017-11-9 14:13:30, -0.45, -0.72, -0.26, -0.12, -0.25, -0.00, -0.45, -0.03, 0.25, -0.14, -2.32, 3.82, 0.59, -2.17, 3.69, 0.10, -2.53, 2.57, 206.74, 187.52, 220.64, -14.43, -52.04, 19.72, 140.48, 108.68, 164.80
10, 2017-11-9 14:13:37, -0.45, -0.68, -0.23, -0.14, -0.27, -0.02, -0.45, -0.05, 0.24, -0.24, -2.64, 1.87, 0.14, -3.93, 4.67, 0.10, -2.32, 2.86, 237.37, 225.24, 250.08, -36.42, -69.52, -6.96, 139.59, 121.56, 167.56
